metric,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,stock,2023-09-30 00:00:00,2022-09-30 00:00:00,2021-09-30 00:00:00,2020-09-30 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2023-05-31 00:00:00,2022-05-31 00:00:00,2021-05-31 00:00:00,2020-05-31 00:00:00
Normalized EBITDA,239238000000.0,161272000000.0,166247000000.0,184188000000.0,TCEHY,,,,,,,,,,,
Total Unusual Items,-7021000000.0,120154000000.0,147403000000.0,54057000000.0,TCEHY,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-7021000000.0,120154000000.0,138690000000.0,49277000000.0,TCEHY,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,115216000000.0,188243000000.0,224822000000.0,159847000000.0,TCEHY,,,,,,,,,,,
Reconciled Depreciation,59008000000.0,61216000000.0,57670000000.0,50774000000.0,TCEHY,,,,,,,,,,,
Reconciled Cost Of Revenue,315906000000.0,315806000000.0,314174000000.0,260532000000.0,TCEHY,,,,,,,,,,,
EBITDA,232217000000.0,281426000000.0,313650000000.0,238245000000.0,TCEHY,,,,,,,,,,,
EBIT,173209000000.0,220210000000.0,255980000000.0,187471000000.0,TCEHY,,,,,,,,,,,
Net Interest Income,1923000000.0,-1393000000.0,-1268000000.0,-492000000.0,TCEHY,,,,,,,,,,,
Interest Expense,11885000000.0,9985000000.0,7918000000.0,7449000000.0,TCEHY,,,,,,,,,,,
Interest Income,13808000000.0,8592000000.0,6650000000.0,6957000000.0,TCEHY,,,,,,,,,,,
Normalized Income,120353580322.8286,80386459693.18587,106167773661.42336,120796359161.65802,TCEHY,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,115216000000.0,188243000000.0,224822000000.0,159847000000.0,TCEHY,,,,,,,,,,,
Total Expenses,443357000000.0,440612000000.0,435727000000.0,353993000000.0,TCEHY,,,,,,,,,,,
Total Operating Income As Reported,160074000000.0,110827000000.0,271620000000.0,184237000000.0,TCEHY,,,,,,,,,,,
Diluted Average Shares,9610000000.0,9695000000.0,9696000000.0,9650000000.0,TCEHY,,,,,,,,,,,
Basic Average Shares,9455000000.0,9528000000.0,9528000000.0,9490000000.0,TCEHY,,,,,,,,,,,
Diluted EPS,11.887,19.341,23.164,16.523,TCEHY,,,,,,,,,,,
Basic EPS,12.186,19.757,23.597,16.844,TCEHY,,,,,,,,,,,
Diluted NI Availto Com Stockholders,114230000000.0,187503000000.0,224605000000.0,159444000000.0,TCEHY,,,,,,,,,,,
Average Dilution Earnings,-986000000.0,-740000000.0,-217000000.0,-403000000.0,TCEHY,,,,,,,,,,,
Net Income Common Stockholders,115216000000.0,188243000000.0,224822000000.0,159847000000.0,TCEHY,,,,,,,,,,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,TCEHY,,,,,,,,,,,
Net Income,115216000000.0,188243000000.0,224822000000.0,159847000000.0,TCEHY,,,,,,,,,,,
Minority Interests,-2832000000.0,-466000000.0,-2988000000.0,-278000000.0,TCEHY,,,,,,,,,,,
Net Income Including Noncontrolling Interests,118048000000.0,188709000000.0,227810000000.0,160125000000.0,TCEHY,,,,,,,,,,,
Net Income Continuous Operations,118048000000.0,188709000000.0,227810000000.0,160125000000.0,TCEHY,,,,,,,,,,,
Tax Provision,43276000000.0,21516000000.0,20252000000.0,19897000000.0,TCEHY,,,,,,,,,,,
Pretax Income,161324000000.0,210225000000.0,248062000000.0,180022000000.0,TCEHY,,,,,,,,,,,
Other Non Operating Income Expenses,-5541000000.0,-8237000000.0,1229000000.0,-1833000000.0,TCEHY,,,,,,,,,,,
Special Income Charges,-4902000000.0,127904000000.0,90973000000.0,10368000000.0,TCEHY,,,,,,,,,,,
Other Special Charges,-1288000000.0,-172707000000.0,-116001000000.0,-21790000000.0,TCEHY,,,,,,,,,,,
Write Off,6095000000.0,27538000000.0,16315000000.0,6642000000.0,TCEHY,,,,,,,,,,,
Restructuring And Mergern Acquisition,95000000.0,17265000000.0,,,TCEHY,,,,,,,,,,,
Net Non Operating Interest Income Expense,1923000000.0,-1393000000.0,-1268000000.0,-492000000.0,TCEHY,,,,,,,,,,,
Interest Expense Non Operating,11885000000.0,9985000000.0,7918000000.0,7449000000.0,TCEHY,,,,,,,,,,,
Interest Income Non Operating,13808000000.0,8592000000.0,6650000000.0,6957000000.0,TCEHY,,,,,,,,,,,
Operating Income,165658000000.0,113940000000.0,124391000000.0,128071000000.0,TCEHY,,,,,,,,,,,
Operating Expense,127451000000.0,124806000000.0,121553000000.0,93461000000.0,TCEHY,,,,,,,,,,,
Selling General And Administration,137736000000.0,135925000000.0,130441000000.0,101383000000.0,TCEHY,,,,,,,,,,,
Selling And Marketing Expense,34211000000.0,29229000000.0,40594000000.0,33758000000.0,TCEHY,,,,,,,,,,,
General And Administrative Expense,103525000000.0,106696000000.0,89847000000.0,67625000000.0,TCEHY,,,,,,,,,,,
Gross Profit,293109000000.0,238746000000.0,245944000000.0,221532000000.0,TCEHY,,,,,,,,,,,
Cost Of Revenue,315906000000.0,315806000000.0,314174000000.0,260532000000.0,TCEHY,,,,,,,,,,,
Total Revenue,609015000000.0,554552000000.0,560118000000.0,482064000000.0,TCEHY,,,,,,,,,,,
Operating Revenue,609015000000.0,554552000000.0,560118000000.0,482064000000.0,TCEHY,,,,,,,,,,,
Tax Effect Of Unusual Items,,,,,VFC,,,,,-154351890.0,-736290.0,-4530366.213043,,,,
Tax Rate For Calcs,,,,,VFC,,,,,0.21,0.202,0.222502,,,,
Normalized EBITDA,,,,,VFC,,,,,1215010000.0,1930299000.0,881569000.0,,,,
Total Unusual Items,,,,,VFC,,,,,-735009000.0,-3645000.0,-20361000.0,,,,
Total Unusual Items Excluding Goodwill,,,,,VFC,,,,,-735009000.0,-3645000.0,-20361000.0,,,,
Net Income From Continuing Operation Net Minority Interest,,,,,VFC,,,,,118584000.0,1216269000.0,354906000.0,,,,
Reconciled Depreciation,,,,,VFC,,,,,262324000.0,266935000.0,269081000.0,,,,
Reconciled Cost Of Revenue,,,,,VFC,,,,,5515796000.0,5386393000.0,4370780000.0,,,,
EBITDA,,,,,VFC,,,,,480001000.0,1926654000.0,861208000.0,,,,
EBIT,,,,,VFC,,,,,217677000.0,1659719000.0,592127000.0,,,,
Net Interest Income,,,,,VFC,,,,,-164632000.0,-131463000.0,-126500000.0,,,,
Interest Expense,,,,,VFC,,,,,174390000.0,136469000.0,135655000.0,,,,
Interest Income,,,,,VFC,,,,,9758000.0,5006000.0,9155000.0,,,,
Normalized Income,,,,,VFC,,,,,699241110.0,1219177710.0,370736633.786957,,,,
Net Income From Continuing And Discontinued Operation,,,,,VFC,,,,,118584000.0,1386941000.0,407869000.0,,,,
Total Expenses,,,,,VFC,,,,,10549773000.0,10209636000.0,8610838000.0,,,,
Total Operating Income As Reported,,,,,VFC,,,,,327693000.0,1632204000.0,607631000.0,,,,
Diluted Average Shares,,,,,VFC,,,,,388370000.0,392411000.0,392121000.0,,,,
Basic Average Shares,,,,,VFC,,,,,387763000.0,390291000.0,389655000.0,,,,
Diluted EPS,,,,,VFC,,,,,0.31,3.53,1.04,,,,
Basic EPS,,,,,VFC,,,,,0.31,3.55,1.05,,,,
Diluted NI Availto Com Stockholders,,,,,VFC,,,,,118584000.0,1386941000.0,407869000.0,,,,
Net Income Common Stockholders,,,,,VFC,,,,,118584000.0,1386941000.0,407869000.0,,,,
Net Income,,,,,VFC,,,,,118584000.0,1386941000.0,407869000.0,,,,
Net Income Including Noncontrolling Interests,,,,,VFC,,,,,118584000.0,1386941000.0,407869000.0,,,,
Net Income Discontinuous Operations,,,,,VFC,,,,,0.0,170672000.0,52963000.0,,,,
Net Income Continuous Operations,,,,,VFC,,,,,118584000.0,1216269000.0,354906000.0,,,,
Tax Provision,,,,,VFC,,,,,-75297000.0,306981000.0,101566000.0,,,,
Pretax Income,,,,,VFC,,,,,43287000.0,1523250000.0,456472000.0,,,,
Other Income Expense,,,,,VFC,,,,,-854783000.0,22509000.0,-45020000.0,,,,
Other Non Operating Income Expenses,,,,,VFC,,,,,-119774000.0,26154000.0,-24659000.0,,,,
Special Income Charges,,,,,VFC,,,,,-735009000.0,-3645000.0,-20361000.0,,,,
Other Special Charges,,,,,VFC,,,,,,3645000.0,,,,,
Impairment Of Capital Assets,,,,,VFC,,,,,735009000.0,0.0,20361000.0,,,,
Net Non Operating Interest Income Expense,,,,,VFC,,,,,-164632000.0,-131463000.0,-126500000.0,,,,
Interest Expense Non Operating,,,,,VFC,,,,,174390000.0,136469000.0,135655000.0,,,,
Interest Income Non Operating,,,,,VFC,,,,,9758000.0,5006000.0,9155000.0,,,,
Operating Income,,,,,VFC,,,,,1062702000.0,1632204000.0,627992000.0,,,,
Operating Expense,,,,,VFC,,,,,5033977000.0,4823243000.0,4240058000.0,,,,
Selling General And Administration,,,,,VFC,,,,,5033977000.0,4823243000.0,4240058000.0,,,,
Gross Profit,,,,,VFC,,,,,6096679000.0,6455447000.0,4868050000.0,,,,
Cost Of Revenue,,,,,VFC,,,,,5515796000.0,5386393000.0,4370780000.0,,,,
Total Revenue,,,,,VFC,,,,,11612475000.0,11841840000.0,9238830000.0,,,,
Operating Revenue,,,,,VFC,,,,,11612475000.0,11841840000.0,9238830000.0,,,,
Tax Effect Of Unusual Items,0.0,0.0,0.0,32941305.55335,LI,,,,,,,,,,,
Tax Rate For Calcs,0.25,0.058817,0.25,0.120962,LI,,,,,,,,,,,
Normalized EBITDA,10539819001.0,-839160000.0,500829000.0,-73292000.0,LI,,,,,,,,,,,
Total Unusual Items,,,0.0,272327000.0,LI,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,,,0.0,272327000.0,LI,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,11704133000.0,-2012215000.0,-321455000.0,-166030000.0,LI,,,,,,,,,,,
Reconciled Depreciation,1805001.0,1213855000.0,590397000.0,320996000.0,LI,,,,,,,,,,,
Reconciled Cost Of Revenue,96354581000.0,36496360000.0,21248325000.0,7624197000.0,LI,,,,,,,,,,,
EBITDA,10539819001.0,-839160000.0,500829000.0,199035000.0,LI,,,,,,,,,,,
EBIT,10538014000.0,-2053015000.0,-89568000.0,-121961000.0,LI,,,,,,,,,,,
Net Interest Income,1996697000.0,869889000.0,677188000.0,188000000.0,LI,,,,,,,,,,,
Interest Expense,86251000.0,106340000.0,63244000.0,66916000.0,LI,,,,,,,,,,,
Interest Income,2082948000.0,976229000.0,740432000.0,254916000.0,LI,,,,,,,,,,,
Normalized Income,11704133000.0,-2012215000.0,-321455000.0,-405415694.44665,LI,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,11704133000.0,-2012215000.0,-321455000.0,-151657000.0,LI,,,,,,,,,,,
Total Expenses,116444455000.0,48941693000.0,28027099000.0,10125946000.0,LI,,,,,,,,,,,
Rent Expense Supplemental,,645792000.0,324655000.0,162907000.0,LI,,,,,,,,,,,
Total Operating Income As Reported,7406877000.0,-3654877000.0,-1017320000.0,-669337000.0,LI,,,,,,,,,,,
Diluted Average Shares,,970615499.0,926660224.0,435001639.0,LI,,,,,,,,,,,
Basic Average Shares,,970615499.0,926660224.0,435001639.0,LI,,,,,,,,,,,
Diluted EPS,,-2.08,-0.34,-1.82,LI,,,,,,,,,,,
Basic EPS,,-2.08,-0.34,-1.82,LI,,,,,,,,,,,
Diluted NI Availto Com Stockholders,11736790000.0,-2012215000.0,-321455000.0,-791985000.0,LI,,,,,,,,,,,
Average Dilution Earnings,32657000.0,,,,LI,,,,,,,,,,,
Net Income Common Stockholders,11704133000.0,-2012215000.0,-321455000.0,-791985000.0,LI,,,,,,,,,,,
Otherunder Preferred Stock Dividend,,0.0,0.0,640328000.0,LI,,,,,,,,,,,
Net Income,11704133000.0,-2012215000.0,-321455000.0,-151657000.0,LI,,,,,,,,,,,
Minority Interests,-104992000.0,20133000.0,0.0,0.0,LI,,,,,,,,,,,
Net Income Including Noncontrolling Interests,11809125000.0,-2032348000.0,-321455000.0,-151657000.0,LI,,,,,,,,,,,
Net Income Discontinuous Operations,,0.0,0.0,14373000.0,LI,,,,,,,,,,,
Net Income Continuous Operations,11809125000.0,-2032348000.0,-321455000.0,-166030000.0,LI,,,,,,,,,,,
Tax Provision,-1357362000.0,-127007000.0,168643000.0,-22847000.0,LI,,,,,,,,,,,
Pretax Income,10451763000.0,-2159355000.0,-152812000.0,-188877000.0,LI,,,,,,,,,,,
Other Income Expense,1048189000.0,625633000.0,187320000.0,292460000.0,LI,,,,,,,,,,,
Other Non Operating Income Expenses,1048189000.0,625633000.0,187320000.0,20133000.0,LI,,,,,,,,,,,
Special Income Charges,,,0.0,-30381000.0,LI,,,,,,,,,,,
Impairment Of Capital Assets,,,0.0,30381000.0,LI,,,,,,,,,,,
Earnings From Equity Interest,,,,-2520000.0,LI,,,,,,,,,,,
Gain On Sale Of Security,,,,272327000.0,LI,,,,,,,,,,,
Net Non Operating Interest Income Expense,1996697000.0,869889000.0,677188000.0,188000000.0,LI,,,,,,,,,,,
Interest Expense Non Operating,86251000.0,106340000.0,63244000.0,66916000.0,LI,,,,,,,,,,,
Interest Income Non Operating,2082948000.0,976229000.0,740432000.0,254916000.0,LI,,,,,,,,,,,
Operating Income,7406877000.0,-3654877000.0,-1017320000.0,-669337000.0,LI,,,,,,,,,,,
Operating Expense,20089874000.0,12445333000.0,6778774000.0,2218676000.0,LI,,,,,,,,,,,
Other Operating Expenses,-264210000.0,,,,LI,,,,,,,,,,,
Provision For Doubtful Accounts,,2910000.0,6415000.0,0.0,LI,,,,,,,,,,,
Depreciation Amortization Depletion Income Statement,,228790000.0,82777000.0,37923000.0,LI,,,,,,,,,,,
Depreciation And Amortization In Income Statement,,228790000.0,82777000.0,37923000.0,LI,,,,,,,,,,,
Research And Development,10586129000.0,6780032000.0,3286389000.0,1099857000.0,LI,,,,,,,,,,,
Selling General And Administration,9767955000.0,5665301000.0,3492385000.0,1080896000.0,LI,,,,,,,,,,,
Selling And Marketing Expense,,1010227000.0,1100769000.0,264814000.0,LI,,,,,,,,,,,
General And Administrative Expense,,4423374000.0,2302424000.0,816082000.0,LI,,,,,,,,,,,
Other Gand A,,904185000.0,563592000.0,204066000.0,LI,,,,,,,,,,,
Rent And Landing Fees,,645792000.0,324655000.0,162907000.0,LI,,,,,,,,,,,
Salaries And Wages,,2873397000.0,1414177000.0,449109000.0,LI,,,,,,,,,,,
Gross Profit,27496751000.0,8790456000.0,5761454000.0,1549339000.0,LI,,,,,,,,,,,
Cost Of Revenue,96354581000.0,36496360000.0,21248325000.0,7907270000.0,LI,,,,,,,,,,,
Total Revenue,123851332000.0,45286816000.0,27009779000.0,9456609000.0,LI,,,,,,,,,,,
Operating Revenue,120294667000.0,44106434000.0,26128469000.0,9282703000.0,LI,,,,,,,,,,,
Tax Effect Of Unusual Items,37639266.757325,-411406.149374,-2013290.468236,1275143250.0,MPNGY,,,,,,,,,,,
Tax Rate For Calcs,0.011734,0.010391,0.001285,0.25,MPNGY,,,,,,,,,,,
Normalized EBITDA,20234854000.0,4597576000.0,-11990794000.0,4876893000.0,MPNGY,,,,,,,,,,,
Total Unusual Items,3207624000.0,-39594000.0,-1566966000.0,5100573000.0,MPNGY,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,3207624000.0,-39594000.0,-1566966000.0,5100573000.0,MPNGY,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,13855828000.0,-6686110000.0,-23538379000.0,4708313000.0,MPNGY,,,,,,,,,,,
Reconciled Depreciation,7996757000.0,9730314000.0,8928019000.0,5194109000.0,MPNGY,,,,,,,,,,,
Reconciled Cost Of Revenue,179553793000.0,158201969000.0,136653869000.0,80744368000.0,MPNGY,,,,,,,,,,,
EBITDA,23442478000.0,4557982000.0,-13557760000.0,9977466000.0,MPNGY,,,,,,,,,,,
EBIT,15445721000.0,-5172332000.0,-22485779000.0,4783357000.0,MPNGY,,,,,,,,,,,
Net Interest Income,-606171000.0,-970917000.0,-584898000.0,230439000.0,MPNGY,,,,,,,,,,,
Interest Expense,1423853000.0,1583185000.0,1080698000.0,345482000.0,MPNGY,,,,,,,,,,,
Interest Income,818986000.0,657908000.0,546037000.0,600455000.0,MPNGY,,,,,,,,,,,
Normalized Income,10685843266.757324,-6646927406.149374,-21973426290.468235,882883250.0,MPNGY,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,13855828000.0,-6686110000.0,-23538379000.0,4708313000.0,MPNGY,,,,,,,,,,,
Total Expenses,266717685000.0,226425950000.0,201122351000.0,116725097000.0,MPNGY,,,,,,,,,,,
Total Operating Income As Reported,13415387000.0,-5820448000.0,-23127199000.0,4330102000.0,MPNGY,,,,,,,,,,,
Diluted Average Shares,3150134000.0,3078297500.0,3018838500.0,3001802500.0,MPNGY,,,,,,,,,,,
Basic Average Shares,3106499500.0,3078297500.0,3018838500.0,2922677000.0,MPNGY,,,,,,,,,,,
Diluted EPS,4.22,-2.18,-7.8,1.56,MPNGY,,,,,,,,,,,
Basic EPS,4.46,-2.18,-7.8,1.62,MPNGY,,,,,,,,,,,
Diluted NI Availto Com Stockholders,13855828000.0,-6686110000.0,-23538379000.0,4708313000.0,MPNGY,,,,,,,,,,,
Net Income Common Stockholders,13855828000.0,-6686110000.0,-23538379000.0,4708313000.0,MPNGY,,,,,,,,,,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,MPNGY,,,,,,,,,,,
Net Income,13855828000.0,-6686110000.0,-23538379000.0,4708313000.0,MPNGY,,,,,,,,,,,
Minority Interests,-1503000.0,-787000.0,-2181000.0,701000.0,MPNGY,,,,,,,,,,,
Net Income Including Noncontrolling Interests,13857331000.0,-6685323000.0,-23536198000.0,4707612000.0,MPNGY,,,,,,,,,,,
Net Income Continuous Operations,13857331000.0,-6685323000.0,-23536198000.0,4707612000.0,MPNGY,,,,,,,,,,,
Tax Provision,164537000.0,-70194000.0,-30279000.0,-269737000.0,MPNGY,,,,,,,,,,,
Pretax Income,14021868000.0,-6755517000.0,-23566477000.0,4437875000.0,MPNGY,,,,,,,,,,,
Other Non Operating Income Expenses,105496000.0,335877000.0,469098000.0,943685000.0,MPNGY,,,,,,,,,,,
Special Income Charges,-1135405000.0,-468620000.0,-3702393000.0,-672224000.0,MPNGY,,,,,,,,,,,
Other Special Charges,,,3442440000.0,204534000.0,MPNGY,,,,,,,,,,,
Write Off,1135405000.0,468620000.0,259953000.0,467690000.0,MPNGY,,,,,,,,,,,
Net Non Operating Interest Income Expense,-606171000.0,-970917000.0,-584898000.0,230439000.0,MPNGY,,,,,,,,,,,
Total Other Finance Cost,1304000.0,45640000.0,50237000.0,24534000.0,MPNGY,,,,,,,,,,,
Interest Expense Non Operating,1423853000.0,1583185000.0,1080698000.0,345482000.0,MPNGY,,,,,,,,,,,
Interest Income Non Operating,818986000.0,657908000.0,546037000.0,600455000.0,MPNGY,,,,,,,,,,,
Operating Income,10027269000.0,-6471002000.0,-21994354000.0,-1930587000.0,MPNGY,,,,,,,,,,,
Operating Expense,87163892000.0,68223981000.0,64468482000.0,35980729000.0,MPNGY,,,,,,,,,,,
Research And Development,21201005000.0,20739865000.0,16675595000.0,10892514000.0,MPNGY,,,,,,,,,,,
Selling General And Administration,67989064000.0,49516922000.0,49295792000.0,26476580000.0,MPNGY,,,,,,,,,,,
Selling And Marketing Expense,58616997000.0,39745112000.0,40683166000.0,20882685000.0,MPNGY,,,,,,,,,,,
General And Administrative Expense,9372067000.0,9771810000.0,8612626000.0,5593895000.0,MPNGY,,,,,,,,,,,
Gross Profit,97191161000.0,61752979000.0,42474128000.0,34050142000.0,MPNGY,,,,,,,,,,,
Cost Of Revenue,179553793000.0,158201969000.0,136653869000.0,80744368000.0,MPNGY,,,,,,,,,,,
Total Revenue,276744954000.0,219954948000.0,179127997000.0,114794510000.0,MPNGY,,,,,,,,,,,
Operating Revenue,276744954000.0,219954948000.0,179127997000.0,114794510000.0,MPNGY,,,,,,,,,,,
Tax Effect Of Unusual Items,5373666.0,-76295260.0,-44438688.0,-28478871.0,WB,,,,,,,,,,,
Tax Rate For Calcs,0.289,0.236,0.252,0.163,WB,,,,,,,,,,,
Normalized EBITDA,676559000.0,589124000.0,859300000.0,644139000.0,WB,,,,,,,,,,,
Total Unusual Items,18594000.0,-323285000.0,-176344000.0,-174717000.0,WB,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,18594000.0,-323285000.0,-176344000.0,-174717000.0,WB,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,342598000.0,85555000.0,428319000.0,313364000.0,WB,,,,,,,,,,,
Reconciled Depreciation,72301000.0,66155000.0,61232000.0,36081000.0,WB,,,,,,,,,,,
Reconciled Cost Of Revenue,374279000.0,400585000.0,403841000.0,302180000.0,WB,,,,,,,,,,,
EBITDA,695153000.0,265839000.0,682956000.0,469422000.0,WB,,,,,,,,,,,
EBIT,622852000.0,199684000.0,621724000.0,433341000.0,WB,,,,,,,,,,,
Net Interest Income,-1861000.0,33836000.0,6274000.0,28401000.0,WB,,,,,,,,,,,
Interest Expense,120070000.0,71598000.0,71006000.0,57428000.0,WB,,,,,,,,,,,
Interest Income,118209000.0,105434000.0,77280000.0,85829000.0,WB,,,,,,,,,,,
Normalized Income,329377666.0,332544740.0,560224312.0,459602129.0,WB,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,342598000.0,85555000.0,428319000.0,313364000.0,WB,,,,,,,,,,,
Total Expenses,1286902000.0,1345688000.0,1559671000.0,1183133000.0,WB,,,,,,,,,,,
Total Operating Income As Reported,472934000.0,480468000.0,697412000.0,506798000.0,WB,,,,,,,,,,,
Diluted Average Shares,,236407000.0,230206000.0,227637000.0,WB,,,,,,,,,,,
Basic Average Shares,,235164000.0,228814000.0,226921000.0,WB,,,,,,,,,,,
Diluted EPS,,0.36,1.86,1.38,WB,,,,,,,,,,,
Basic EPS,,0.36,1.87,1.38,WB,,,,,,,,,,,
Diluted NI Availto Com Stockholders,343127000.0,85555000.0,428319000.0,313364000.0,WB,,,,,,,,,,,
Average Dilution Earnings,529000.0,0.0,0.0,,WB,,,,,,,,,,,
Net Income Common Stockholders,342598000.0,85555000.0,428319000.0,313364000.0,WB,,,,,,,,,,,
Net Income,342598000.0,85555000.0,428319000.0,313364000.0,WB,,,,,,,,,,,
Minority Interests,-14897000.0,-12254000.0,16442000.0,-1233000.0,WB,,,,,,,,,,,
Net Income Including Noncontrolling Interests,357495000.0,97809000.0,411877000.0,314597000.0,WB,,,,,,,,,,,
Net Income Continuous Operations,357495000.0,97809000.0,411877000.0,314597000.0,WB,,,,,,,,,,,
Tax Provision,145287000.0,30277000.0,138841000.0,61316000.0,WB,,,,,,,,,,,
Pretax Income,502782000.0,128086000.0,550718000.0,375913000.0,WB,,,,,,,,,,,
Other Income Expense,31709000.0,-396394000.0,-152968000.0,-159286000.0,WB,,,,,,,,,,,
Other Non Operating Income Expenses,-277000.0,-49040000.0,9159000.0,4997000.0,WB,,,,,,,,,,,
Special Income Charges,-23642000.0,-81257000.0,-106800000.0,-211985000.0,WB,,,,,,,,,,,
Write Off,23642000.0,71081000.0,106800000.0,211985000.0,WB,,,,,,,,,,,
Impairment Of Capital Assets,0.0,10176000.0,0.0,0.0,WB,,,,,,,,,,,
Earnings From Equity Interest,13392000.0,-24069000.0,14217000.0,10434000.0,WB,,,,,,,,,,,
Gain On Sale Of Security,42236000.0,-242028000.0,-69544000.0,37268000.0,WB,,,,,,,,,,,
Net Non Operating Interest Income Expense,-1861000.0,33836000.0,6274000.0,28401000.0,WB,,,,,,,,,,,
Interest Expense Non Operating,120070000.0,71598000.0,71006000.0,57428000.0,WB,,,,,,,,,,,
Interest Income Non Operating,118209000.0,105434000.0,77280000.0,85829000.0,WB,,,,,,,,,,,
Operating Income,472934000.0,490644000.0,697412000.0,506798000.0,WB,,,,,,,,,,,
Operating Expense,912623000.0,945103000.0,1155830000.0,880953000.0,WB,,,,,,,,,,,
Research And Development,333628000.0,415190000.0,430673000.0,324110000.0,WB,,,,,,,,,,,
Selling General And Administration,578995000.0,529913000.0,725157000.0,556843000.0,WB,,,,,,,,,,,
Selling And Marketing Expense,461421000.0,477107000.0,591682000.0,455619000.0,WB,,,,,,,,,,,
General And Administrative Expense,117574000.0,52806000.0,133475000.0,101224000.0,WB,,,,,,,,,,,
Other Gand A,117574000.0,52806000.0,133475000.0,101224000.0,WB,,,,,,,,,,,
Gross Profit,1385557000.0,1435747000.0,1853242000.0,1387751000.0,WB,,,,,,,,,,,
Cost Of Revenue,374279000.0,400585000.0,403841000.0,302180000.0,WB,,,,,,,,,,,
Total Revenue,1759836000.0,1836332000.0,2257083000.0,1689931000.0,WB,,,,,,,,,,,
Operating Revenue,1759836000.0,1836332000.0,2257083000.0,1689931000.0,WB,,,,,,,,,,,
Tax Effect Of Unusual Items,109126.4,6145624.1,5695750.0,0.0,BZ,,,,,,,,,,,
Tax Rate For Calcs,0.1003,0.0833,0.25,0.0,BZ,,,,,,,,,,,
Normalized EBITDA,1007772000.0,84104000.0,-869667000.0,-840885000.0,BZ,,,,,,,,,,,
Total Unusual Items,1088000.0,73777000.0,22783000.0,4021000.0,BZ,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,1088000.0,73777000.0,22783000.0,4021000.0,BZ,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,1099227000.0,107245000.0,-1071074000.0,-941895000.0,BZ,,,,,,,,,,,
Reconciled Depreciation,427889000.0,287400000.0,189436000.0,108041000.0,BZ,,,,,,,,,,,
Reconciled Cost Of Revenue,1059861000.0,754861000.0,554648000.0,240211000.0,BZ,,,,,,,,,,,
EBITDA,1008860000.0,157881000.0,-846884000.0,-836864000.0,BZ,,,,,,,,,,,
EBIT,580971000.0,-129519000.0,-1036320000.0,-944905000.0,BZ,,,,,,,,,,,
Net Interest Income,606757000.0,161332000.0,9735000.0,3098000.0,BZ,,,,,,,,,,,
Interest Expense,,,,0.0,BZ,,,,,,,,,,,
Interest Income,606757000.0,161332000.0,9735000.0,3098000.0,BZ,,,,,,,,,,,
Normalized Income,1098248126.4,39613624.1,-1088161250.0,-945916000.0,BZ,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,1099227000.0,107245000.0,-1071074000.0,-941895000.0,BZ,,,,,,,,,,,
Total Expenses,5371057000.0,4640581000.0,5295448000.0,2889264000.0,BZ,,,,,,,,,,,
Total Operating Income As Reported,580971000.0,-129519000.0,-1036320000.0,-944905000.0,BZ,,,,,,,,,,,
Diluted Average Shares,,456070996.0,264671514.0,458456286.0,BZ,,,,,,,,,,,
Basic Average Shares,,456070996.0,264671514.0,435192556.0,BZ,,,,,,,,,,,
Diluted EPS,,0.24,-4.66,-2.816859,BZ,,,,,,,,,,,
Basic EPS,,0.24,-4.66,-2.816859,BZ,,,,,,,,,,,
Diluted NI Availto Com Stockholders,1099227000.0,107245000.0,-1235139000.0,-1225876000.0,BZ,,,,,,,,,,,
Net Income Common Stockholders,1099227000.0,107245000.0,-1235139000.0,-1225876000.0,BZ,,,,,,,,,,,
Otherunder Preferred Stock Dividend,0.0,0.0,164065000.0,283981000.0,BZ,,,,,,,,,,,
Net Income,1099227000.0,107245000.0,-1071074000.0,-941895000.0,BZ,,,,,,,,,,,
Minority Interests,9000.0,,,,BZ,,,,,,,,,,,
Net Income Including Noncontrolling Interests,1099218000.0,107245000.0,-1071074000.0,-941895000.0,BZ,,,,,,,,,,,
Net Income Continuous Operations,1099218000.0,107245000.0,-1071074000.0,-941895000.0,BZ,,,,,,,,,,,
Tax Provision,122571000.0,9751000.0,59527000.0,0.0,BZ,,,,,,,,,,,
