metric,2024-03-31 00:00:00,2023-12-31 00:00:00,2023-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,stock,2024-02-29 00:00:00,2023-11-30 00:00:00,2023-08-31 00:00:00,2023-05-31 00:00:00,2023-02-28 00:00:00
Interest Income Non Operating,,4211000.0,4808000.0,5494000.0,3738000.0,VFC,,,,,
Operating Income,,224864000.0,362927000.0,-8992000.0,152204000.0,VFC,,,,,
Operating Expense,,1407548000.0,1192284000.0,1110059000.0,1205820000.0,VFC,,,,,
Selling General And Administration,,1407548000.0,1192284000.0,1110059000.0,1205820000.0,VFC,,,,,
Gross Profit,,1632412000.0,1555211000.0,1101067000.0,1358024000.0,VFC,,,,,
Cost Of Revenue,,1327871000.0,1479028000.0,985269000.0,1381589000.0,VFC,,,,,
Total Revenue,,2960283000.0,3034239000.0,2086336000.0,2739613000.0,VFC,,,,,
Operating Revenue,,2960283000.0,3034239000.0,2086336000.0,2739613000.0,VFC,,,,,
Tax Effect Of Unusual Items,,0.0,0.0,0.0,0.0,LI,,,,,
Tax Rate For Calcs,,0.25,0.046828,0.017808,0.040037,LI,,,,,
Normalized EBITDA,,4189606000.0,2962763000.0,2794090000.0,1363722000.0,LI,,,,,
Net Income From Continuing Operation Net Minority Interest,,5658081000.0,2823231000.0,2293153000.0,929668000.0,LI,,,,,
Reconciled Depreciation,,,,413667000.0,358500000.0,LI,,,,,
Reconciled Cost Of Revenue,,31945214000.0,27034971000.0,22417449000.0,14956947000.0,LI,,,,,
EBITDA,,4189606000.0,2962763000.0,2794090000.0,1363722000.0,LI,,,,,
EBIT,,4189606000.0,2962763000.0,2380423000.0,1005222000.0,LI,,,,,
Net Interest Income,,780680000.0,428102000.0,401822000.0,386093000.0,LI,,,,,
Interest Expense,,13675000.0,11698000.0,28440000.0,32438000.0,LI,,,,,
Interest Income,,794355000.0,439800000.0,430262000.0,418531000.0,LI,,,,,
Normalized Income,,5658081000.0,2823231000.0,2293153000.0,929668000.0,LI,,,,,
Net Income From Continuing And Discontinued Operation,,5658081000.0,2823231000.0,2293153000.0,929668000.0,LI,,,,,
Total Expenses,,38695671000.0,32340077000.0,27026857000.0,18381850000.0,LI,,,,,
Total Operating Income As Reported,,3036426000.0,2339378000.0,1625870000.0,405203000.0,LI,,,,,
Diluted Average Shares,,,1059821062.0,,1052402048.0,LI,,,,,
Basic Average Shares,,,985819450.0,,979166653.0,LI,,,,,
Diluted EPS,,,2.68,,0.9,LI,,,,,
Basic EPS,,,2.86,,0.94,LI,,,,,
Diluted NI Availto Com Stockholders,,5690738000.0,2823231000.0,2293153000.0,929668000.0,LI,,,,,
Net Income Common Stockholders,,5658081000.0,2823231000.0,2293153000.0,929668000.0,LI,,,,,
Net Income,,5658081000.0,2823231000.0,2293153000.0,929668000.0,LI,,,,,
Minority Interests,,-94235000.0,10357000.0,-16945000.0,-4169000.0,LI,,,,,
Net Income Including Noncontrolling Interests,,5752316000.0,2812874000.0,2310098000.0,933837000.0,LI,,,,,
Net Income Continuous Operations,,5752316000.0,2812874000.0,2310098000.0,933837000.0,LI,,,,,
Tax Provision,,-1576385000.0,138191000.0,41885000.0,38947000.0,LI,,,,,
Pretax Income,,4175931000.0,2951065000.0,2351983000.0,972784000.0,LI,,,,,
Other Income Expense,,358825000.0,183585000.0,324291000.0,181488000.0,LI,,,,,
Other Non Operating Income Expenses,,358825000.0,183585000.0,324291000.0,181488000.0,LI,,,,,
Net Non Operating Interest Income Expense,,780680000.0,428102000.0,401822000.0,386093000.0,LI,,,,,
Interest Expense Non Operating,,13675000.0,11698000.0,28440000.0,32438000.0,LI,,,,,
Interest Income Non Operating,,794355000.0,439800000.0,430262000.0,418531000.0,LI,,,,,
Operating Income,,3036426000.0,2339378000.0,1625870000.0,405203000.0,LI,,,,,
Operating Expense,,6750457000.0,5305106000.0,4609408000.0,3424903000.0,LI,,,,,
Other Operating Expenses,,-10237000.0,-55870000.0,-125402000.0,-72701000.0,LI,,,,,
Research And Development,,3491026000.0,2817206000.0,2425600000.0,1852297000.0,LI,,,,,
Selling General And Administration,,3269668000.0,2543770000.0,2309210000.0,1645307000.0,LI,,,,,
Gross Profit,,9786883000.0,7644484000.0,6235278000.0,3830106000.0,LI,,,,,
Cost Of Revenue,,31945214000.0,27034971000.0,22417449000.0,14956947000.0,LI,,,,,
Total Revenue,,41732097000.0,34679455000.0,28652727000.0,18787053000.0,LI,,,,,
Operating Revenue,,40379267000.0,33616140000.0,27971944000.0,18327316000.0,LI,,,,,
Tax Effect Of Unusual Items,,66276277.170882,-3413907.269972,4141393.158077,-228125.350248,MPNGY,,,,,
Tax Rate For Calcs,,0.041529,0.01375,0.002122,0.002498,MPNGY,,,,,
Normalized EBITDA,,1082572000.0,4242567000.0,3101259000.0,3811699000.0,MPNGY,,,,,
Total Unusual Items,,1595895000.0,-248288000.0,1951335000.0,-91318000.0,MPNGY,,,,,
Total Unusual Items Excluding Goodwill,,1595895000.0,-248288000.0,1951335000.0,-91318000.0,MPNGY,,,,,
Net Income From Continuing Operation Net Minority Interest,,2216702000.0,3593023000.0,4687870000.0,3358233000.0,MPNGY,,,,,
Reconciled Cost Of Revenue,,48702612000.0,49484515000.0,42566619000.0,38800047000.0,MPNGY,,,,,
EBITDA,,2678467000.0,3994279000.0,5052594000.0,3720381000.0,MPNGY,,,,,
EBIT,,2678467000.0,3994279000.0,5052594000.0,3720381000.0,MPNGY,,,,,
Net Interest Income,,-150572000.0,-149725000.0,-136814000.0,-169060000.0,MPNGY,,,,,
Interest Expense,,365421000.0,350950000.0,354003000.0,353479000.0,MPNGY,,,,,
Interest Income,,216153000.0,201225000.0,217189000.0,184419000.0,MPNGY,,,,,
Normalized Income,,687083277.170882,3837897092.730028,2740676393.158077,3449322874.649752,MPNGY,,,,,
Net Income From Continuing And Discontinued Operation,,2216702000.0,3593023000.0,4687870000.0,3358233000.0,MPNGY,,,,,
Total Expenses,,72361378000.0,74248879000.0,63831971000.0,56275457000.0,MPNGY,,,,,
Total Operating Income As Reported,,1758134000.0,3358533000.0,4712999000.0,3585721000.0,MPNGY,,,,,
Diluted Average Shares,,,3121425838.0,,3120697693.0,MPNGY,,,,,
Basic Average Shares,,,3121425838.0,,3120697693.0,MPNGY,,,,,
Diluted EPS,,,1.151084,,1.076116,MPNGY,,,,,
Basic EPS,,,1.151084,,1.076116,MPNGY,,,,,
Diluted NI Availto Com Stockholders,,2216702000.0,3593023000.0,4687870000.0,3358233000.0,MPNGY,,,,,
Net Income Common Stockholders,,2216702000.0,3593023000.0,4687870000.0,3358233000.0,MPNGY,,,,,
Otherunder Preferred Stock Dividend,,0.0,0.0,0.0,0.0,MPNGY,,,,,
Net Income,,2216702000.0,3593023000.0,4687870000.0,3358233000.0,MPNGY,,,,,
Minority Interests,,-285000.0,-211000.0,-749000.0,-258000.0,MPNGY,,,,,
Net Income Including Noncontrolling Interests,,2216987000.0,3593234000.0,4688619000.0,3358491000.0,MPNGY,,,,,
Net Income Continuous Operations,,2216987000.0,3593234000.0,4688619000.0,3358491000.0,MPNGY,,,,,
Tax Provision,,96059000.0,50095000.0,9972000.0,8411000.0,MPNGY,,,,,
Pretax Income,,2313046000.0,3643329000.0,4698591000.0,3366902000.0,MPNGY,,,,,
Other Non Operating Income Expenses,,-1147612000.0,1388793000.0,-1470709000.0,1335024000.0,MPNGY,,,,,
Special Income Charges,,-408417000.0,-276377000.0,-195264000.0,-255347000.0,MPNGY,,,,,
Write Off,,408417000.0,276377000.0,195264000.0,255347000.0,MPNGY,,,,,
Net Non Operating Interest Income Expense,,-150572000.0,-149725000.0,-136814000.0,-169060000.0,MPNGY,,,,,
Interest Expense Non Operating,,365421000.0,350950000.0,354003000.0,353479000.0,MPNGY,,,,,
Interest Income Non Operating,,216153000.0,201225000.0,217189000.0,184419000.0,MPNGY,,,,,
Operating Income,,1334573000.0,2218028000.0,4132653000.0,2342015000.0,MPNGY,,,,,
Operating Expense,,23658766000.0,24764364000.0,21265352000.0,17475410000.0,MPNGY,,,,,
Research And Development,,5425285000.0,5321157000.0,5407176000.0,5047387000.0,MPNGY,,,,,
Selling General And Administration,,19425591000.0,19443207000.0,16692243000.0,12428023000.0,MPNGY,,,,,
Selling And Marketing Expense,,16725310000.0,16905422000.0,14553195000.0,10433070000.0,MPNGY,,,,,
General And Administrative Expense,,2700281000.0,2537785000.0,2139048000.0,1994953000.0,MPNGY,,,,,
Gross Profit,,24993339000.0,26982392000.0,25398005000.0,19817425000.0,MPNGY,,,,,
Cost Of Revenue,,48702612000.0,49484515000.0,42566619000.0,38800047000.0,MPNGY,,,,,
Total Revenue,,73695951000.0,76466907000.0,67964624000.0,58617472000.0,MPNGY,,,,,
Operating Revenue,,73695951000.0,76466907000.0,67964624000.0,58617472000.0,MPNGY,,,,,
Tax Effect Of Unusual Items,,6386000.0,-2145467.1649,-5848253.056012,4697262.342967,WB,,,,,
Tax Rate For Calcs,,0.25,0.240658,0.232166,0.17298,WB,,,,,
Normalized EBITDA,,243379000.0,142901000.0,148643000.0,69335000.0,WB,,,,,
Total Unusual Items,,25544000.0,-8915000.0,-25190000.0,27155000.0,WB,,,,,
Total Unusual Items Excluding Goodwill,,25544000.0,-8915000.0,-25190000.0,27155000.0,WB,,,,,
Net Income From Continuing Operation Net Minority Interest,,83230000.0,77489000.0,81387000.0,100492000.0,WB,,,,,
Reconciled Cost Of Revenue,,100156000.0,93998000.0,94272000.0,85853000.0,WB,,,,,
EBITDA,,268923000.0,133986000.0,123453000.0,96490000.0,WB,,,,,
EBIT,,268923000.0,133986000.0,123453000.0,96490000.0,WB,,,,,
Net Interest Income,,3598000.0,-19498000.0,11357000.0,2682000.0,WB,,,,,
Interest Income,,,,11357000.0,2682000.0,WB,,,,,
Normalized Income,,64072000.0,84258532.8351,100728746.943988,78034262.342967,WB,,,,,
Net Income From Continuing And Discontinued Operation,,83230000.0,77489000.0,81387000.0,100492000.0,WB,,,,,
Total Expenses,,344662000.0,308165000.0,316787000.0,317288000.0,WB,,,,,
Total Operating Income As Reported,,119005000.0,133986000.0,123453000.0,96490000.0,WB,,,,,
Diluted Average Shares,,,238655000.0,237886000.0,236895000.0,WB,,,,,
Basic Average Shares,,,235842000.0,235361000.0,234705000.0,WB,,,,,
Diluted EPS,,,0.32,0.34,0.42,WB,,,,,
Basic EPS,,,0.33,0.35,0.43,WB,,,,,
Diluted NI Availto Com Stockholders,,83759000.0,77489000.0,81387000.0,100492000.0,WB,,,,,
Net Income Common Stockholders,,83230000.0,77489000.0,81387000.0,100492000.0,WB,,,,,
Net Income,,83230000.0,77489000.0,81387000.0,100492000.0,WB,,,,,
Minority Interests,,-5454000.0,-2677000.0,-2783000.0,-3983000.0,WB,,,,,
Net Income Including Noncontrolling Interests,,88684000.0,80166000.0,84170000.0,104475000.0,WB,,,,,
Net Income Continuous Operations,,88684000.0,80166000.0,84170000.0,104475000.0,WB,,,,,
Tax Provision,,72578000.0,25407000.0,25450000.0,21852000.0,WB,,,,,
Pretax Income,,161262000.0,105573000.0,109620000.0,126327000.0,WB,,,,,
Other Income Expense,,38659000.0,-8915000.0,-25190000.0,27155000.0,WB,,,,,
Special Income Charges,,-23642000.0,0.0,0.0,,WB,,,,,
Impairment Of Capital Assets,,0.0,0.0,0.0,,WB,,,,,
Gain On Sale Of Security,,49186000.0,-8915000.0,-25190000.0,27155000.0,WB,,,,,
Net Non Operating Interest Income Expense,,3598000.0,-19498000.0,11357000.0,2682000.0,WB,,,,,
Total Other Finance Cost,,,19498000.0,,,WB,,,,,
Interest Income Non Operating,,,,11357000.0,2682000.0,WB,,,,,
Operating Income,,119005000.0,133986000.0,123453000.0,96490000.0,WB,,,,,
Operating Expense,,244506000.0,214167000.0,222515000.0,231435000.0,WB,,,,,
Research And Development,,67243000.0,82764000.0,92945000.0,90676000.0,WB,,,,,
Selling General And Administration,,177263000.0,131403000.0,129570000.0,140759000.0,WB,,,,,
Selling And Marketing Expense,,139726000.0,109776000.0,105425000.0,106494000.0,WB,,,,,
General And Administrative Expense,,37537000.0,21627000.0,24145000.0,34265000.0,WB,,,,,
Other Gand A,,37537000.0,21627000.0,24145000.0,34265000.0,WB,,,,,
Salaries And Wages,,,,10573000.0,,WB,,,,,
Gross Profit,,363511000.0,348153000.0,345968000.0,327925000.0,WB,,,,,
Cost Of Revenue,,100156000.0,93998000.0,94272000.0,85853000.0,WB,,,,,
Total Revenue,,463667000.0,442151000.0,440240000.0,413778000.0,WB,,,,,
Operating Revenue,,463667000.0,442151000.0,440240000.0,413778000.0,WB,,,,,
Tax Effect Of Unusual Items,,-38508759.907795,10370189.750235,5890272.285576,12628000.0,BZ,,,,,
Tax Rate For Calcs,,0.129363,0.069656,0.05927,0.25,BZ,,,,,
Normalized EBITDA,,519933000.0,112110000.0,75651000.0,-127811000.0,BZ,,,,,
Total Unusual Items,,-297681000.0,148877000.0,99380000.0,50512000.0,BZ,,,,,
Total Unusual Items Excluding Goodwill,,-297681000.0,148877000.0,99380000.0,50512000.0,BZ,,,,,
Net Income From Continuing Operation Net Minority Interest,,331250000.0,425717000.0,309597000.0,32663000.0,BZ,,,,,
Reconciled Cost Of Revenue,,274846000.0,267529000.0,270322000.0,247164000.0,BZ,,,,,
EBITDA,,222252000.0,260987000.0,175031000.0,-77299000.0,BZ,,,,,
EBIT,,222252000.0,260987000.0,175031000.0,-77299000.0,BZ,,,,,
Net Interest Income,,459887000.0,15283000.0,55805000.0,75782000.0,BZ,,,,,
Interest Income,,459887000.0,15283000.0,55805000.0,75782000.0,BZ,,,,,
Normalized Income,,590422240.092205,287210189.750235,216107272.285576,-5221000.0,BZ,,,,,
Net Income From Continuing And Discontinued Operation,,331250000.0,425717000.0,309597000.0,32663000.0,BZ,,,,,
Total Expenses,,1357979000.0,1345649000.0,1312584000.0,1354845000.0,BZ,,,,,
Total Operating Income As Reported,,222252000.0,260987000.0,175031000.0,-77299000.0,BZ,,,,,
Diluted Average Shares,,451854662.0,449859338.0,450055972.0,453702016.0,BZ,,,,,
Basic Average Shares,,438115650.0,435179264.0,434321757.0,432993084.0,BZ,,,,,
Diluted EPS,,0.74,0.94,0.68,0.08,BZ,,,,,
Basic EPS,,0.76,0.98,0.72,0.08,BZ,,,,,
Diluted NI Availto Com Stockholders,,331250000.0,425717000.0,309597000.0,32663000.0,BZ,,,,,
Net Income Common Stockholders,,331250000.0,425717000.0,309597000.0,32663000.0,BZ,,,,,
Net Income,,331250000.0,425717000.0,309597000.0,32663000.0,BZ,,,,,
Net Income Including Noncontrolling Interests,,331241000.0,425717000.0,309597000.0,32663000.0,BZ,,,,,
Net Income Continuous Operations,,331241000.0,425717000.0,309597000.0,32663000.0,BZ,,,,,
Tax Provision,,49217000.0,31874000.0,19506000.0,21974000.0,BZ,,,,,
Pretax Income,,380458000.0,457591000.0,329103000.0,54637000.0,BZ,,,,,
Other Income Expense,,-301681000.0,181321000.0,98267000.0,56154000.0,BZ,,,,,
Other Non Operating Income Expenses,,-4000000.0,32444000.0,-1113000.0,5642000.0,BZ,,,,,
Gain On Sale Of Security,,-297681000.0,148877000.0,99380000.0,50512000.0,BZ,,,,,
Net Non Operating Interest Income Expense,,459887000.0,15283000.0,55805000.0,75782000.0,BZ,,,,,
Interest Income Non Operating,,459887000.0,15283000.0,55805000.0,75782000.0,BZ,,,,,
Operating Income,,222252000.0,260987000.0,175031000.0,-77299000.0,BZ,,,,,
Operating Expense,,1083133000.0,1078120000.0,1042262000.0,1107681000.0,BZ,,,,,
Other Operating Expenses,,-5272000.0,-13078000.0,1776000.0,-18811000.0,BZ,,,,,
Research And Development,,430164000.0,414429000.0,365907000.0,333068000.0,BZ,,,,,
Selling General And Administration,,658241000.0,676769000.0,674579000.0,793424000.0,BZ,,,,,
Selling And Marketing Expense,,433454000.0,457341000.0,471593000.0,628838000.0,BZ,,,,,
General And Administrative Expense,,224787000.0,219428000.0,202986000.0,164586000.0,BZ,,,,,
Other Gand A,,224787000.0,219428000.0,202986000.0,164586000.0,BZ,,,,,
Gross Profit,,1305385000.0,1339107000.0,1217293000.0,1030382000.0,BZ,,,,,
Cost Of Revenue,,274846000.0,267529000.0,270322000.0,247164000.0,BZ,,,,,
Total Revenue,,1580231000.0,1606636000.0,1487615000.0,1277546000.0,BZ,,,,,
Operating Revenue,,1566722000.0,1591500000.0,1470822000.0,1260057000.0,BZ,,,,,
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,TSLA,,,,,
Tax Rate For Calcs,0.26,0.21,0.08,0.11,0.09,TSLA,,,,,
Normalized EBITDA,2875000000.0,3484000000.0,3318000000.0,4119000000.0,3875000000.0,TSLA,,,,,
Total Unusual Items,,0.0,0.0,0.0,,TSLA,,,,,
Total Unusual Items Excluding Goodwill,,0.0,0.0,0.0,,TSLA,,,,,
Net Income From Continuing Operation Net Minority Interest,1129000000.0,7930000000.0,1853000000.0,2703000000.0,2513000000.0,TSLA,,,,,
Reconciled Depreciation,1246000000.0,1232000000.0,1235000000.0,1154000000.0,1046000000.0,TSLA,,,,,
Reconciled Cost Of Revenue,17605000000.0,20729000000.0,19172000000.0,20394000000.0,18818000000.0,TSLA,,,,,
EBITDA,2875000000.0,3484000000.0,3318000000.0,4119000000.0,3875000000.0,TSLA,,,,,
EBIT,1629000000.0,2252000000.0,2083000000.0,2965000000.0,2829000000.0,TSLA,,,,,
Net Interest Income,274000000.0,272000000.0,244000000.0,210000000.0,184000000.0,TSLA,,,,,
Interest Expense,76000000.0,61000000.0,38000000.0,28000000.0,29000000.0,TSLA,,,,,
Interest Income,350000000.0,333000000.0,282000000.0,238000000.0,213000000.0,TSLA,,,,,
Normalized Income,1129000000.0,7930000000.0,1853000000.0,2703000000.0,2513000000.0,TSLA,,,,,
Net Income From Continuing And Discontinued Operation,1129000000.0,7930000000.0,1853000000.0,2703000000.0,2513000000.0,TSLA,,,,,
Total Expenses,20130000000.0,23103000000.0,21586000000.0,22528000000.0,20665000000.0,TSLA,,,,,
Total Operating Income As Reported,1171000000.0,2064000000.0,1764000000.0,2399000000.0,2664000000.0,TSLA,,,,,
Diluted Average Shares,3484000000.0,3492000000.0,3493000000.0,3478000000.0,3468000000.0,TSLA,,,,,
Basic Average Shares,3186000000.0,3181000000.0,3176000000.0,3171000000.0,3166000000.0,TSLA,,,,,
Diluted EPS,0.34,2.27,0.53,0.78,0.73,TSLA,,,,,
Basic EPS,0.37,2.49,0.58,0.85,0.8,TSLA,,,,,
Diluted NI Availto Com Stockholders,1171000000.0,7927000000.0,1851000000.0,2703000000.0,2518000000.0,TSLA,,,,,
Average Dilution Earnings,,0.0,0.0,0.0,,TSLA,,,,,
Net Income Common Stockholders,1171000000.0,7927000000.0,1851000000.0,2703000000.0,2518000000.0,TSLA,,,,,
Otherunder Preferred Stock Dividend,-42000000.0,,2000000.0,0.0,-5000000.0,TSLA,,,,,
Net Income,1129000000.0,7930000000.0,1853000000.0,2703000000.0,2513000000.0,TSLA,,,,,
Minority Interests,-15000000.0,-13000000.0,-25000000.0,89000000.0,-26000000.0,TSLA,,,,,
Net Income Including Noncontrolling Interests,1144000000.0,7943000000.0,1878000000.0,2614000000.0,2539000000.0,TSLA,,,,,
Net Income Continuous Operations,1144000000.0,7943000000.0,1878000000.0,2614000000.0,2539000000.0,TSLA,,,,,
Tax Provision,409000000.0,-5752000000.0,167000000.0,323000000.0,261000000.0,TSLA,,,,,
Pretax Income,1553000000.0,2191000000.0,2045000000.0,2937000000.0,2800000000.0,TSLA,,,,,
Other Income Expense,108000000.0,-145000000.0,37000000.0,328000000.0,-48000000.0,TSLA,,,,,
Other Non Operating Income Expenses,108000000.0,-145000000.0,37000000.0,328000000.0,-48000000.0,TSLA,,,,,
Special Income Charges,,0.0,0.0,0.0,,TSLA,,,,,
Restructuring And Mergern Acquisition,,0.0,0.0,0.0,,TSLA,,,,,
Net Non Operating Interest Income Expense,274000000.0,272000000.0,244000000.0,210000000.0,184000000.0,TSLA,,,,,
Interest Expense Non Operating,76000000.0,61000000.0,38000000.0,28000000.0,29000000.0,TSLA,,,,,
Interest Income Non Operating,350000000.0,333000000.0,282000000.0,238000000.0,213000000.0,TSLA,,,,,
Operating Income,1171000000.0,2064000000.0,1764000000.0,2399000000.0,2664000000.0,TSLA,,,,,
Operating Expense,2525000000.0,2374000000.0,2414000000.0,2134000000.0,1847000000.0,TSLA,,,,,
Research And Development,1151000000.0,1094000000.0,1161000000.0,943000000.0,771000000.0,TSLA,,,,,
Selling General And Administration,1374000000.0,1280000000.0,1253000000.0,1191000000.0,1076000000.0,TSLA,,,,,
Gross Profit,3696000000.0,4438000000.0,4178000000.0,4533000000.0,4511000000.0,TSLA,,,,,
Cost Of Revenue,17605000000.0,20729000000.0,19172000000.0,20394000000.0,18818000000.0,TSLA,,,,,
Total Revenue,21301000000.0,25167000000.0,23350000000.0,24927000000.0,23329000000.0,TSLA,,,,,
Operating Revenue,21301000000.0,25167000000.0,23350000000.0,24927000000.0,23329000000.0,TSLA,,,,,
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,AMD,,,,,
Tax Rate For Calcs,0.4,0.21,0.21,0.21,0.21,AMD,,,,,
Normalized EBITDA,899000000.0,1215000000.0,1131000000.0,899000000.0,904000000.0,AMD,,,,,
Net Income From Continuing Operation Net Minority Interest,123000000.0,667000000.0,299000000.0,27000000.0,-139000000.0,AMD,,,,,
Reconciled Depreciation,810000000.0,824000000.0,848000000.0,873000000.0,1006000000.0,AMD,,,,,
Reconciled Cost Of Revenue,2495000000.0,2853000000.0,2655000000.0,2524000000.0,2506000000.0,AMD,,,,,
EBITDA,899000000.0,1215000000.0,1131000000.0,899000000.0,904000000.0,AMD,,,,,
EBIT,89000000.0,391000000.0,283000000.0,26000000.0,-102000000.0,AMD,,,,,
Net Interest Income,-25000000.0,179000000.0,-26000000.0,-28000000.0,-25000000.0,AMD,,,,,
Interest Expense,25000000.0,27000000.0,26000000.0,28000000.0,25000000.0,AMD,,,,,
Normalized Income,123000000.0,667000000.0,299000000.0,27000000.0,-139000000.0,AMD,,,,,
Net Income From Continuing And Discontinued Operation,123000000.0,667000000.0,299000000.0,27000000.0,-139000000.0,AMD,,,,,
Total Expenses,5437000000.0,5826000000.0,5576000000.0,5379000000.0,5498000000.0,AMD,,,,,
Total Operating Income As Reported,36000000.0,342000000.0,224000000.0,-20000000.0,-145000000.0,AMD,,,,,
Diluted Average Shares,1639000000.0,1628000000.0,1629000000.0,1627000000.0,1611000000.0,AMD,,,,,
Basic Average Shares,1617000000.0,1616000000.0,1616000000.0,1612000000.0,1611000000.0,AMD,,,,,
Diluted EPS,0.07,0.41,0.18,0.02,-0.09,AMD,,,,,
Basic EPS,0.08,0.41,0.18,0.02,-0.09,AMD,,,,,
Diluted NI Availto Com Stockholders,123000000.0,667000000.0,299000000.0,27000000.0,-139000000.0,AMD,,,,,
Net Income Common Stockholders,123000000.0,667000000.0,299000000.0,27000000.0,-139000000.0,AMD,,,,,
Net Income,123000000.0,667000000.0,299000000.0,27000000.0,-139000000.0,AMD,,,,,
Net Income Including Noncontrolling Interests,123000000.0,667000000.0,299000000.0,27000000.0,-139000000.0,AMD,,,,,
Net Income Continuous Operations,123000000.0,667000000.0,299000000.0,27000000.0,-139000000.0,AMD,,,,,
Earnings From Equity Interest Net Of Tax,7000000.0,6000000.0,3000000.0,6000000.0,1000000.0,AMD,,,,,
Tax Provision,-52000000.0,-297000000.0,-39000000.0,-23000000.0,13000000.0,AMD,,,,,
Pretax Income,64000000.0,364000000.0,257000000.0,-2000000.0,-127000000.0,AMD,,,,,
Other Income Expense,53000000.0,-157000000.0,59000000.0,46000000.0,43000000.0,AMD,,,,,
Other Non Operating Income Expenses,53000000.0,-156000000.0,59000000.0,46000000.0,43000000.0,AMD,,,,,
Net Non Operating Interest Income Expense,-25000000.0,179000000.0,-26000000.0,-28000000.0,-25000000.0,AMD,,,,,
Interest Expense Non Operating,25000000.0,27000000.0,26000000.0,28000000.0,25000000.0,AMD,,,,,
Operating Income,36000000.0,342000000.0,224000000.0,-20000000.0,-145000000.0,AMD,,,,,
Operating Expense,2524000000.0,2569000000.0,2523000000.0,2463000000.0,2504000000.0,AMD,,,,,
Other Operating Expenses,-13000000.0,-6000000.0,-10000000.0,-8000000.0,-10000000.0,AMD,,,,,
Depreciation Amortization Depletion Income Statement,392000000.0,420000000.0,450000000.0,481000000.0,518000000.0,AMD,,,,,
Depreciation And Amortization In Income Statement,392000000.0,420000000.0,450000000.0,481000000.0,518000000.0,AMD,,,,,
Amortization,392000000.0,420000000.0,450000000.0,481000000.0,518000000.0,AMD,,,,,
Amortization Of Intangibles Income Statement,392000000.0,420000000.0,450000000.0,481000000.0,518000000.0,AMD,,,,,
Research And Development,1525000000.0,1511000000.0,1507000000.0,1443000000.0,1411000000.0,AMD,,,,,
Selling General And Administration,620000000.0,644000000.0,576000000.0,547000000.0,585000000.0,AMD,,,,,
Gross Profit,2560000000.0,2911000000.0,2747000000.0,2443000000.0,2359000000.0,AMD,,,,,
Cost Of Revenue,2913000000.0,3257000000.0,3053000000.0,2916000000.0,2994000000.0,AMD,,,,,
Total Revenue,5473000000.0,6168000000.0,5800000000.0,5359000000.0,5353000000.0,AMD,,,,,
Operating Revenue,5473000000.0,6168000000.0,5800000000.0,5359000000.0,5353000000.0,AMD,,,,,
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,RCL,,,,,
Tax Rate For Calcs,0.4,0.21,0.21,0.21,0.0,RCL,,,,,
Normalized EBITDA,1175000000.0,993480000.0,1716771000.0,1179469000.0,672000000.0,RCL,,,,,
Total Unusual Items,,50888000.0,86627000.0,42014000.0,20471000.0,RCL,,,,,
Total Unusual Items Excluding Goodwill,,50888000.0,86627000.0,42014000.0,20471000.0,RCL,,,,,
Net Income From Continuing Operation Net Minority Interest,360000000.0,277073000.0,1009076000.0,458761000.0,-48000000.0,RCL,,,,,
Reconciled Depreciation,387000000.0,368077000.0,365473000.0,361450000.0,360000000.0,RCL,,,,,
Reconciled Cost Of Revenue,2056000000.0,1890359000.0,2136860000.0,1955103000.0,1793000000.0,RCL,,,,,
EBITDA,1175000000.0,993480000.0,1716771000.0,1179469000.0,672000000.0,RCL,,,,,
EBIT,788000000.0,625403000.0,1351298000.0,817792000.0,312000000.0,RCL,,,,,
Net Interest Income,-419000000.0,-342344000.0,-333148000.0,-345929000.0,-345000000.0,RCL,,,,,
Interest Expense,424000000.0,346481000.0,340620000.0,355512000.0,360000000.0,RCL,,,,,
Interest Income,5000000.0,4137000.0,7472000.0,9583000.0,15000000.0,RCL,,,,,
Normalized Income,360000000.0,277073000.0,1009076000.0,458761000.0,-48000000.0,RCL,,,,,
Net Income From Continuing And Discontinued Operation,360000000.0,277073000.0,1009076000.0,458761000.0,-48000000.0,RCL,,,,,
Total Expenses,2978000000.0,2761717000.0,2895349000.0,2751401000.0,2614000000.0,RCL,,,,,
Total Operating Income As Reported,750000000.0,569702000.0,1265104000.0,771581000.0,272000000.0,RCL,,,,,
Diluted Average Shares,281000000.0,280000000.0,281876000.0,281913000.0,255465000.0,RCL,,,,,
Basic Average Shares,257000000.0,256000000.0,256188000.0,255805000.0,255465000.0,RCL,,,,,
Diluted EPS,1.35,1.06,3.65,1.7,-0.19,RCL,,,,,
Basic EPS,1.4,1.09,3.94,1.79,-0.19,RCL,,,,,
Diluted NI Availto Com Stockholders,379000000.0,277073000.0,1009076000.0,480084000.0,-48000000.0,RCL,,,,,
Average Dilution Earnings,19000000.0,,,21323000.0,0.0,RCL,,,,,
Net Income Common Stockholders,360000000.0,277073000.0,1009076000.0,458761000.0,-48000000.0,RCL,,,,,
