metric,2024-03-31 00:00:00,2023-12-31 00:00:00,2023-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,stock,2024-02-29 00:00:00,2023-11-30 00:00:00,2023-08-31 00:00:00,2023-05-31 00:00:00,2023-02-28 00:00:00,2022-11-30 00:00:00,2024-01-31 00:00:00,2023-10-31 00:00:00,2023-07-31 00:00:00,2023-04-30 00:00:00,2023-01-31 00:00:00,2022-10-31 00:00:00
Interest Income Non Operating,,47145000.0,47330000.0,46602000.0,44135000.0,32020000.0,,YY,,,,,,,,,,,,
Operating Income,,4796000.0,18226000.0,9439000.0,2531000.0,659000.0,,YY,,,,,,,,,,,,
Operating Expense,,196683000.0,190929000.0,188329000.0,202095000.0,211671000.0,,YY,,,,,,,,,,,,
Other Operating Expenses,,-2742000.0,-333000.0,-3382000.0,-3248000.0,-4653000.0,,YY,,,,,,,,,,,,
Research And Development,,72580000.0,71608000.0,75540000.0,75775000.0,73626000.0,,YY,,,,,,,,,,,,
Selling General And Administration,,126845000.0,119654000.0,116171000.0,129568000.0,142698000.0,,YY,,,,,,,,,,,,
Selling And Marketing Expense,,92258000.0,92515000.0,87205000.0,97599000.0,100812000.0,,YY,,,,,,,,,,,,
General And Administrative Expense,,34587000.0,27139000.0,28966000.0,31969000.0,41886000.0,,YY,,,,,,,,,,,,
Other Gand A,,34587000.0,27139000.0,28966000.0,31969000.0,41886000.0,,YY,,,,,,,,,,,,
Gross Profit,,201479000.0,209155000.0,197768000.0,204626000.0,212330000.0,,YY,,,,,,,,,,,,
Cost Of Revenue,,368360000.0,357914000.0,349566000.0,379002000.0,392579000.0,,YY,,,,,,,,,,,,
Total Revenue,,569839000.0,567069000.0,547334000.0,583628000.0,604909000.0,,YY,,,,,,,,,,,,
Operating Revenue,,486196000.0,495801000.0,476981000.0,520393000.0,527423000.0,,YY,,,,,,,,,,,,
Tax Effect Of Unusual Items,,0.0,0.0,0.0,0.0,0.0,,MOMO,,,,,,,,,,,,
Tax Rate For Calcs,,0.271851,0.226046,0.220408,0.233305,0.224966,,MOMO,,,,,,,,,,,,
Normalized EBITDA,,711774000.0,737294000.0,785037000.0,560087000.0,522531000.0,,MOMO,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,,452469000.0,546428000.0,568395000.0,390289000.0,397994000.0,,MOMO,,,,,,,,,,,,
Reconciled Depreciation,,16673000.0,18746000.0,20066000.0,24123000.0,25187000.0,,MOMO,,,,,,,,,,,,
Reconciled Cost Of Revenue,,1770117000.0,1771530000.0,1819559000.0,1664188000.0,1916050000.0,,MOMO,,,,,,,,,,,,
EBITDA,,711774000.0,737294000.0,785037000.0,560087000.0,522531000.0,,MOMO,,,,,,,,,,,,
EBIT,,695101000.0,718548000.0,764971000.0,535964000.0,497344000.0,,MOMO,,,,,,,,,,,,
Net Interest Income,,103802000.0,77498000.0,103358000.0,89372000.0,77163000.0,,MOMO,,,,,,,,,,,,
Interest Expense,,20552000.0,19293000.0,11963000.0,10415000.0,10955000.0,,MOMO,,,,,,,,,,,,
Interest Income,,124354000.0,96791000.0,115321000.0,99787000.0,88118000.0,,MOMO,,,,,,,,,,,,
Normalized Income,,452469000.0,546428000.0,568395000.0,390289000.0,397994000.0,,MOMO,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,,452469000.0,546428000.0,568395000.0,390289000.0,397994000.0,,MOMO,,,,,,,,,,,,
Total Expenses,,2400935000.0,2421090000.0,2492601000.0,2382681000.0,2803432000.0,,MOMO,,,,,,,,,,,,
Total Operating Income As Reported,,601997000.0,621757000.0,645085000.0,436177000.0,409226000.0,,MOMO,,,,,,,,,,,,
Diluted Average Shares,,195478088.0,199148345.0,204600908.0,204551138.0,203076378.0,,MOMO,,,,,,,,,,,,
Basic Average Shares,,188158518.0,189646055.0,188960450.0,188508540.0,188920993.0,,MOMO,,,,,,,,,,,,
Diluted EPS,,2.32,2.74,2.82,1.96,2.02,,MOMO,,,,,,,,,,,,
Basic EPS,,2.4,2.88,3.0,2.08,2.1,,MOMO,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,,452469000.0,546428000.0,568395000.0,390289000.0,397994000.0,,MOMO,,,,,,,,,,,,
Net Income Common Stockholders,,452469000.0,546428000.0,568395000.0,390289000.0,397994000.0,,MOMO,,,,,,,,,,,,
Net Income,,452469000.0,546428000.0,568395000.0,390289000.0,397994000.0,,MOMO,,,,,,,,,,,,
Minority Interests,,0.0,4263000.0,795000.0,828000.0,986000.0,,MOMO,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,,452469000.0,542165000.0,567600000.0,389461000.0,397008000.0,,MOMO,,,,,,,,,,,,
Net Income Continuous Operations,,452469000.0,542165000.0,567600000.0,389461000.0,397008000.0,,MOMO,,,,,,,,,,,,
Earnings From Equity Interest Net Of Tax,,-38703000.0,974000.0,-19439000.0,-13475000.0,20040000.0,,MOMO,,,,,,,,,,,,
Tax Provision,,183377000.0,158064000.0,165969000.0,122613000.0,109421000.0,,MOMO,,,,,,,,,,,,
Pretax Income,,674549000.0,699255000.0,753008000.0,525549000.0,486389000.0,,MOMO,,,,,,,,,,,,
Other Income Expense,,-31250000.0,,4565000.0,,0.0,40403000.0,MOMO,,,,,,,,,,,,
Other Non Operating Income Expenses,,-31250000.0,,4565000.0,,0.0,40403000.0,MOMO,,,,,,,,,,,,
Net Non Operating Interest Income Expense,,103802000.0,77498000.0,103358000.0,89372000.0,77163000.0,,MOMO,,,,,,,,,,,,
Interest Expense Non Operating,,20552000.0,19293000.0,11963000.0,10415000.0,10955000.0,,MOMO,,,,,,,,,,,,
Interest Income Non Operating,,124354000.0,96791000.0,115321000.0,99787000.0,88118000.0,,MOMO,,,,,,,,,,,,
Operating Income,,601997000.0,621757000.0,645085000.0,436177000.0,409226000.0,,MOMO,,,,,,,,,,,,
Operating Expense,,630818000.0,649560000.0,673042000.0,718493000.0,887382000.0,,MOMO,,,,,,,,,,,,
Other Operating Expenses,,-30821000.0,-39971000.0,-22919000.0,-36394000.0,65158000.0,,MOMO,,,,,,,,,,,,
Research And Development,,231445000.0,201693000.0,214649000.0,236803000.0,272657000.0,,MOMO,,,,,,,,,,,,
Selling General And Administration,,430194000.0,487838000.0,481312000.0,518084000.0,549567000.0,,MOMO,,,,,,,,,,,,
Selling And Marketing Expense,,304696000.0,373942000.0,356525000.0,379786000.0,407075000.0,,MOMO,,,,,,,,,,,,
General And Administrative Expense,,125498000.0,113896000.0,124787000.0,138298000.0,142492000.0,,MOMO,,,,,,,,,,,,
Other Gand A,,125498000.0,113896000.0,124787000.0,138298000.0,142492000.0,,MOMO,,,,,,,,,,,,
Gross Profit,,1232815000.0,1271317000.0,1318127000.0,1154670000.0,1296608000.0,,MOMO,,,,,,,,,,,,
Cost Of Revenue,,1770117000.0,1771530000.0,1819559000.0,1664188000.0,1916050000.0,,MOMO,,,,,,,,,,,,
Total Revenue,,3002932000.0,3042847000.0,3137686000.0,2818858000.0,3212658000.0,,MOMO,,,,,,,,,,,,
Operating Revenue,,3002932000.0,3042847000.0,3137686000.0,2818858000.0,3212658000.0,,MOMO,,,,,,,,,,,,
Tax Effect Of Unusual Items,,,,,,,,PVH,,,,,,,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,,,,,,,,PVH,,,,,,,0.193232,0.222,0.213,0.231,0.21,
Normalized EBITDA,,,,,,,,PVH,,,,,,,436300000.0,307100000.0,221100000.0,274400000.0,375700000.0,
Total Unusual Items,,,,,,,,PVH,,,,,,,0.0,0.0,,,0.0,-417100000.0
Total Unusual Items Excluding Goodwill,,,,,,,,PVH,,,,,,,0.0,0.0,,,0.0,-417100000.0
Net Income From Continuing Operation Net Minority Interest,,,,,,,,PVH,,,,,,,271800000.0,161600000.0,94200000.0,136000000.0,138700000.0,
Reconciled Depreciation,,,,,,,,PVH,,,,,,,75600000.0,75200000.0,75500000.0,72300000.0,76200000.0,
Reconciled Cost Of Revenue,,,,,,,,PVH,,,,,,,988700000.0,1023500000.0,934700000.0,907600000.0,1098200000.0,
EBITDA,,,,,,,,PVH,,,,,,,436300000.0,307100000.0,221100000.0,274400000.0,375700000.0,
EBIT,,,,,,,,PVH,,,,,,,360700000.0,231900000.0,145600000.0,202100000.0,299500000.0,
Net Interest Income,,,,,,,,PVH,,,,,,,-20000000.0,-22200000.0,-23600000.0,-22000000.0,-21600000.0,
Interest Expense,,,,,,,,PVH,,,,,,,23800000.0,24300000.0,25900000.0,25300000.0,23700000.0,
Interest Income,,,,,,,,PVH,,,,,,,3800000.0,2100000.0,2300000.0,3300000.0,2100000.0,
Normalized Income,,,,,,,,PVH,,,,,,,271800000.0,161600000.0,94200000.0,136000000.0,138700000.0,
Net Income From Continuing And Discontinued Operation,,,,,,,,PVH,,,,,,,271800000.0,161600000.0,94200000.0,136000000.0,138700000.0,
Total Expenses,,,,,,,,PVH,,,,,,,2157800000.0,2147300000.0,2073200000.0,1971600000.0,2280800000.0,
Diluted Average Shares,,,,,,,,PVH,,,,,,,59700000.0,60800000.0,62700000.0,63500000.0,63700000.0,
Basic Average Shares,,,,,,,,PVH,,,,,,,58900000.0,60300000.0,62100000.0,62700000.0,63100000.0,
Diluted EPS,,,,,,,,PVH,,,,,,,4.55,2.66,1.5,2.14,2.18,
Basic EPS,,,,,,,,PVH,,,,,,,4.614601,2.679934,1.516908,2.169059,2.198098,
Diluted NI Availto Com Stockholders,,,,,,,,PVH,,,,,,,271800000.0,161600000.0,94200000.0,136000000.0,138700000.0,
Net Income Common Stockholders,,,,,,,,PVH,,,,,,,271800000.0,161600000.0,94200000.0,136000000.0,138700000.0,
Net Income,,,,,,,,PVH,,,,,,,271800000.0,161600000.0,94200000.0,136000000.0,138700000.0,
Minority Interests,,,,,,,,PVH,,,,,,,,,,,0.0,0.0
Net Income Including Noncontrolling Interests,,,,,,,,PVH,,,,,,,271800000.0,161600000.0,94200000.0,136000000.0,138700000.0,
Net Income Continuous Operations,,,,,,,,PVH,,,,,,,271800000.0,161600000.0,94200000.0,136000000.0,138700000.0,
Tax Provision,,,,,,,,PVH,,,,,,,65100000.0,46000000.0,25500000.0,40800000.0,137100000.0,
Pretax Income,,,,,,,,PVH,,,,,,,336900000.0,207600000.0,119700000.0,176800000.0,275800000.0,
Other Income Expense,,,,,,,,PVH,,,,,,,24800000.0,14200000.0,9500000.0,12500000.0,89500000.0,
Other Non Operating Income Expenses,,,,,,,,PVH,,,,,,,13900000.0,500000.0,300000.0,600000.0,81700000.0,
Special Income Charges,,,,,,,,PVH,,,,,,,0.0,0.0,,,0.0,-417100000.0
Impairment Of Capital Assets,,,,,,,,PVH,,,,,,,0.0,0.0,,,0.0,417100000.0
Earnings From Equity Interest,,,,,,,,PVH,,,,,,,10900000.0,13700000.0,9200000.0,11900000.0,7800000.0,
Net Non Operating Interest Income Expense,,,,,,,,PVH,,,,,,,-20000000.0,-22200000.0,-23600000.0,-22000000.0,-21600000.0,
Interest Expense Non Operating,,,,,,,,PVH,,,,,,,23800000.0,24300000.0,25900000.0,25300000.0,23700000.0,
Interest Income Non Operating,,,,,,,,PVH,,,,,,,3800000.0,2100000.0,2300000.0,3300000.0,2100000.0,
Operating Income,,,,,,,,PVH,,,,,,,332100000.0,215600000.0,133800000.0,186300000.0,207900000.0,
Operating Expense,,,,,,,,PVH,,,,,,,1169100000.0,1123800000.0,1138500000.0,1064000000.0,1182600000.0,
Selling General And Administration,,,,,,,,PVH,,,,,,,1169100000.0,1123800000.0,1138500000.0,1064000000.0,1182600000.0,
General And Administrative Expense,,,,,,,,PVH,,,,,,,,,,,,1085000000.0
Other Gand A,,,,,,,,PVH,,,,,,,,,,,,1085000000.0
Gross Profit,,,,,,,,PVH,,,,,,,1501200000.0,1339400000.0,1272300000.0,1250300000.0,1390500000.0,
Cost Of Revenue,,,,,,,,PVH,,,,,,,988700000.0,1023500000.0,934700000.0,907600000.0,1098200000.0,
Total Revenue,,,,,,,,PVH,,,,,,,2489900000.0,2362900000.0,2207000000.0,2157900000.0,2488700000.0,
Operating Revenue,,,,,,,,PVH,,,,,,,2489900000.0,2362900000.0,2207000000.0,2157900000.0,2488700000.0,
Tax Effect Of Unusual Items,129650.618436,43645451.724079,3558852.24767,7904012.877712,-3309248.945378,,,UGP,,,,,,,,,,,,
Tax Rate For Calcs,0.314686,0.31951,0.302366,0.198698,0.252345,,,UGP,,,,,,,,,,,,
Normalized EBITDA,1239057000.0,2263609000.0,2143954000.0,942790000.0,1018139000.0,,,UGP,,,,,,,,,,,,
Total Unusual Items,412000.0,136601000.0,11770000.0,39779000.0,-13114000.0,,,UGP,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,412000.0,136601000.0,11770000.0,39779000.0,-13114000.0,,,UGP,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,431474000.0,1099000000.0,864854000.0,213876000.0,262065000.0,,,UGP,,,,,,,,,,,,
Reconciled Depreciation,279775000.0,320649000.0,281444000.0,281292000.0,271409000.0,,,UGP,,,,,,,,,,,,
Reconciled Cost Of Revenue,28334690000.0,30351908000.0,29619258000.0,27920269000.0,28839034000.0,,,UGP,,,,,,,,,,,,
EBITDA,1239469000.0,2400210000.0,2155724000.0,982569000.0,1005025000.0,,,UGP,,,,,,,,,,,,
EBIT,959694000.0,2079561000.0,1874280000.0,701277000.0,733616000.0,,,UGP,,,,,,,,,,,,
Net Interest Income,-153283000.0,-347159000.0,-300614000.0,-216723000.0,-225464000.0,,,UGP,,,,,,,,,,,,
Interest Expense,295114000.0,442513000.0,596757000.0,403398000.0,367371000.0,,,UGP,,,,,,,,,,,,
Interest Income,148454000.0,156359000.0,296143000.0,186675000.0,163887000.0,,,UGP,,,,,,,,,,,,
Normalized Income,431191650.618436,1006044451.724079,856642852.24767,182001012.877712,271869751.054622,,,UGP,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,431474000.0,1099000000.0,864854000.0,213876000.0,262065000.0,,,UGP,,,,,,,,,,,,
Total Expenses,29575367000.0,31573460000.0,30916866000.0,29119286000.0,29957378000.0,,,UGP,,,,,,,,,,,,
Diluted Average Shares,1111626000.0,,1104256000.0,1104110000.0,1104648000.0,,1097331000.0,UGP,,,,,,,,,,,,
Basic Average Shares,1099019000.0,,1095190000.0,1095037000.0,1095175000.0,,1091254000.0,UGP,,,,,,,,,,,,
Diluted EPS,0.3881,,0.7832,0.1937,0.2372,,0.0666,UGP,,,,,,,,,,,,
Basic EPS,0.3926,,0.7897,0.1953,0.2393,,0.067,UGP,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,431474000.0,1099000000.0,864854000.0,213876000.0,262065000.0,,,UGP,,,,,,,,,,,,
Net Income Common Stockholders,431474000.0,1099000000.0,864854000.0,213876000.0,262065000.0,,,UGP,,,,,,,,,,,,
Net Income,431474000.0,1099000000.0,864854000.0,213876000.0,262065000.0,,,UGP,,,,,,,,,,,,
Minority Interests,-23972000.0,-14994000.0,-26389000.0,-24815000.0,-11760000.0,,,UGP,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,455446000.0,1113994000.0,891243000.0,238691000.0,273825000.0,,,UGP,,,,,,,,,,,,
Net Income Discontinuous Operations,,0.0,0.0,0.0,0.0,-7648000.0,,UGP,,,,,,,,,,,,
Net Income Continuous Operations,455446000.0,1113994000.0,891243000.0,238691000.0,273825000.0,,,UGP,,,,,,,,,,,,
Tax Provision,209134000.0,523054000.0,386280000.0,59188000.0,92420000.0,,,UGP,,,,,,,,,,,,
Pretax Income,664580000.0,1637048000.0,1277523000.0,297879000.0,366245000.0,,,UGP,,,,,,,,,,,,
Other Income Expense,-2672000.0,136795000.0,11467000.0,41348000.0,-2666000.0,,,UGP,,,,,,,,,,,,
Special Income Charges,36808000.0,17609000.0,11770000.0,39779000.0,52777000.0,,,UGP,,,,,,,,,,,,
Gain On Sale Of Ppe,36808000.0,17609000.0,11770000.0,39779000.0,52777000.0,,,UGP,,,,,,,,,,,,
Earnings From Equity Interest,-3084000.0,194000.0,-303000.0,1569000.0,10448000.0,,,UGP,,,,,,,,,,,,
Gain On Sale Of Security,-36396000.0,118992000.0,,,-65891000.0,-8651000.0,,UGP,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-153283000.0,-347159000.0,-300614000.0,-216723000.0,-225464000.0,,,UGP,,,,,,,,,,,,
Total Other Finance Cost,6623000.0,61005000.0,,,21980000.0,-92934000.0,,UGP,,,,,,,,,,,,
Interest Expense Non Operating,295114000.0,442513000.0,596757000.0,403398000.0,367371000.0,,,UGP,,,,,,,,,,,,
Interest Income Non Operating,148454000.0,156359000.0,296143000.0,186675000.0,163887000.0,,,UGP,,,,,,,,,,,,
Operating Income,820535000.0,1847412000.0,1566670000.0,473254000.0,594375000.0,,,UGP,,,,,,,,,,,,
Operating Expense,1240677000.0,1221552000.0,1297608000.0,1199017000.0,1118344000.0,,,UGP,,,,,,,,,,,,
Other Operating Expenses,230877000.0,34718000.0,170973000.0,205996000.0,153449000.0,,,UGP,,,,,,,,,,,,
Selling General And Administration,1009800000.0,1186834000.0,1126635000.0,993021000.0,964895000.0,,,UGP,,,,,,,,,,,,
Selling And Marketing Expense,569000000.0,640990000.0,577486000.0,523782000.0,510968000.0,,,UGP,,,,,,,,,,,,
General And Administrative Expense,440800000.0,545844000.0,549149000.0,469239000.0,453927000.0,,,UGP,,,,,,,,,,,,
Other Gand A,440800000.0,545844000.0,549149000.0,469239000.0,453927000.0,,,UGP,,,,,,,,,,,,
Gross Profit,2061212000.0,3068964000.0,2864278000.0,1672271000.0,1712719000.0,,,UGP,,,,,,,,,,,,
Cost Of Revenue,28334690000.0,30351908000.0,29619258000.0,27920269000.0,28839034000.0,,,UGP,,,,,,,,,,,,
Total Revenue,30395902000.0,33420872000.0,32483536000.0,29592540000.0,30551753000.0,,,UGP,,,,,,,,,,,,
Excise Taxes,881090000.0,,,,474099000.0,,,UGP,,,,,,,,,,,,
Operating Revenue,31658837000.0,30486486000.0,32483536000.0,29592540000.0,31372902000.0,,,UGP,,,,,,,,,,,,
Tax Effect Of Unusual Items,28313646.0,4898889.458067,-7002876.0,8927679.0,-2417940.0,,,INCY,,,,,,,,,,,,
Tax Rate For Calcs,0.282,0.257891,0.267,0.267,0.21,,,INCY,,,,,,,,,,,,
Normalized EBITDA,158133000.0,274526000.0,282040000.0,265119000.0,83050000.0,,,INCY,,,,,,,,,,,,
Total Unusual Items,100403000.0,18996000.0,-26228000.0,33437000.0,-11514000.0,,,INCY,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,100403000.0,18996000.0,-26228000.0,33437000.0,-11514000.0,,,INCY,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,169548000.0,201079000.0,171269000.0,203548000.0,21703000.0,,,INCY,,,,,,,,,,,,
Reconciled Depreciation,21947000.0,21762000.0,21390000.0,20297000.0,19211000.0,,,INCY,,,,,,,,,,,,
Reconciled Cost Of Revenue,61000000.0,69800000.0,60100000.0,68300000.0,56800000.0,,,INCY,,,,,,,,,,,,
EBITDA,258536000.0,293522000.0,255812000.0,298556000.0,71536000.0,,,INCY,,,,,,,,,,,,
EBIT,236589000.0,271760000.0,234422000.0,278259000.0,52325000.0,,,INCY,,,,,,,,,,,,
Net Interest Income,44314000.0,49632000.0,45748000.0,42013000.0,32404000.0,,,INCY,,,,,,,,,,,,
Interest Expense,430000.0,804000.0,623000.0,655000.0,469000.0,,,INCY,,,,,,,,,,,,
Interest Income,44744000.0,50436000.0,46371000.0,42668000.0,32873000.0,,,INCY,,,,,,,,,,,,
Normalized Income,97458646.0,186981889.458067,190494124.0,179038679.0,30799060.0,,,INCY,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,169548000.0,201079000.0,171269000.0,203548000.0,21703000.0,,,INCY,,,,,,,,,,,,
Total Expenses,789535000.0,811097000.0,704762000.0,752401000.0,777679000.0,,,INCY,,,,,,,,,,,,
Total Operating Income As Reported,91898000.0,187270000.0,214705000.0,193780000.0,24770000.0,,,INCY,,,,,,,,,,,,
Diluted Average Shares,227219000.0,226125000.0,226167000.0,225649000.0,225589000.0,,,INCY,,,,,,,,,,,,
Basic Average Shares,224484000.0,224226000.0,224078000.0,223248000.0,222960000.0,,,INCY,,,,,,,,,,,,
Diluted EPS,0.75,0.89,0.76,0.9,0.1,,,INCY,,,,,,,,,,,,
Basic EPS,0.76,0.9,0.76,0.91,0.1,,,INCY,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,169548000.0,201079000.0,171269000.0,203548000.0,21703000.0,,,INCY,,,,,,,,,,,,
Net Income Common Stockholders,169548000.0,201079000.0,171269000.0,203548000.0,21703000.0,,,INCY,,,,,,,,,,,,
Net Income,169548000.0,201079000.0,171269000.0,203548000.0,21703000.0,,,INCY,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,169548000.0,201079000.0,171269000.0,203548000.0,21703000.0,,,INCY,,,,,,,,,,,,
Net Income Continuous Operations,169548000.0,201079000.0,171269000.0,203548000.0,21703000.0,,,INCY,,,,,,,,,,,,
Tax Provision,66611000.0,69877000.0,62530000.0,74056000.0,30153000.0,,,INCY,,,,,,,,,,,,
Pretax Income,236159000.0,270956000.0,233799000.0,277604000.0,51856000.0,,,INCY,,,,,,,,,,,,
Other Income Expense,100403000.0,18996000.0,-26228000.0,33437000.0,-11514000.0,,,INCY,,,,,,,,,,,,
Other Non Operating Income Expenses,,,,,,26637000.0,11513000.0,INCY,,,,,,,,,,,,
Special Income Charges,456000.0,-15058000.0,426000.0,-8374000.0,-6196000.0,,,INCY,,,,,,,,,,,,
Restructuring And Mergern Acquisition,-456000.0,15058000.0,-426000.0,8374000.0,6196000.0,,,INCY,,,,,,,,,,,,
Gain On Sale Of Security,99947000.0,34054000.0,-26654000.0,41811000.0,-5318000.0,,,INCY,,,,,,,,,,,,
Net Non Operating Interest Income Expense,44314000.0,49632000.0,45748000.0,42013000.0,32404000.0,,,INCY,,,,,,,,,,,,
Interest Expense Non Operating,430000.0,804000.0,623000.0,655000.0,469000.0,,,INCY,,,,,,,,,,,,
Interest Income Non Operating,44744000.0,50436000.0,46371000.0,42668000.0,32873000.0,,,INCY,,,,,,,,,,,,
Operating Income,91354000.0,202244000.0,214263000.0,202209000.0,30994000.0,,,INCY,,,,,,,,,,,,
Operating Expense,728535000.0,741297000.0,644662000.0,684101000.0,720879000.0,,,INCY,,,,,,,,,,,,
Other Operating Expenses,-1025000.0,2903000.0,1053000.0,-549000.0,-1362000.0,,,INCY,,,,,,,,,,,,
Research And Development,429260000.0,444494000.0,375709000.0,400750000.0,406641000.0,,,INCY,,,,,,,,,,,,
Selling General And Administration,300300000.0,293900000.0,267900000.0,283900000.0,315600000.0,,,INCY,,,,,,,,,,,,
General And Administrative Expense,300300000.0,293900000.0,267900000.0,283900000.0,315600000.0,,,INCY,,,,,,,,,,,,
Other Gand A,194700000.0,192000000.0,173400000.0,188600000.0,221100000.0,,,INCY,,,,,,,,,,,,
Salaries And Wages,105600000.0,101900000.0,94500000.0,95300000.0,94500000.0,,,INCY,,,,,,,,,,,,
Gross Profit,819889000.0,943541000.0,858925000.0,886310000.0,751873000.0,,,INCY,,,,,,,,,,,,
Cost Of Revenue,61000000.0,69800000.0,60100000.0,68300000.0,56800000.0,,,INCY,,,,,,,,,,,,
Total Revenue,880889000.0,1013341000.0,919025000.0,954610000.0,808673000.0,,,INCY,,,,,,,,,,,,
Operating Revenue,880889000.0,1013341000.0,919025000.0,954610000.0,808673000.0,,,INCY,,,,,,,,,,,,
Tax Effect Of Unusual Items,-910000.0,-1530000.0,-2352000.0,-2685000.0,-3718000.0,,,CB,,,,,,,,,,,,
Tax Rate For Calcs,0.13,0.085,0.168,0.179,0.169,,,CB,,,,,,,,,,,,
Total Unusual Items,-7000000.0,-18000000.0,-14000000.0,-15000000.0,-22000000.0,,,CB,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-7000000.0,-18000000.0,-14000000.0,-15000000.0,-22000000.0,,,CB,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,2143000000.0,3300000000.0,2043000000.0,1793000000.0,1892000000.0,,,CB,,,,,,,,,,,,
Reconciled Depreciation,80000000.0,84000000.0,84000000.0,70000000.0,72000000.0,,,CB,,,,,,,,,,,,
EBIT,2814000000.0,2785000000.0,2627000000.0,2350000000.0,2436000000.0,,,CB,,,,,,,,,,,,
Net Interest Income,-178000000.0,-173000000.0,-174000000.0,-165000000.0,-160000000.0,,,CB,,,,,,,,,,,,
Interest Expense,178000000.0,173000000.0,174000000.0,165000000.0,160000000.0,,,CB,,,,,,,,,,,,
Interest Income,15000000.0,23000000.0,17000000.0,12000000.0,17000000.0,,,CB,,,,,,,,,,,,
Normalized Income,2149090000.0,3316470000.0,2054648000.0,1805315000.0,1910282000.0,,,CB,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,2143000000.0,3300000000.0,2043000000.0,1793000000.0,1892000000.0,,,CB,,,,,,,,,,,,
Total Expenses,10321000000.0,10472000000.0,11436000000.0,9636000000.0,8756000000.0,,,CB,,,,,,,,,,,,
Diluted Average Shares,409739635.0,410700000.0,412605959.0,415571876.0,417928192.0,,,CB,,,,,,,,,,,,
Basic Average Shares,405662694.0,407200000.0,409505454.0,412487400.0,414289150.0,,,CB,,,,,,,,,,,,
Diluted EPS,5.23,8.03,4.95,4.32,4.53,,,CB,,,,,,,,,,,,
Basic EPS,5.28,8.079568,4.99,4.35,4.57,,,CB,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,2143000000.0,3300000000.0,2043000000.0,1793000000.0,1892000000.0,,,CB,,,,,,,,,,,,
Net Income Common Stockholders,2143000000.0,3300000000.0,2043000000.0,1793000000.0,1892000000.0,,,CB,,,,,,,,,,,,
Net Income,2143000000.0,3300000000.0,2043000000.0,1793000000.0,1892000000.0,,,CB,,,,,,,,,,,,
Minority Interests,-151000000.0,10000000.0,3000000.0,,0.0,,0.0,CB,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,2294000000.0,3290000000.0,2040000000.0,1793000000.0,1892000000.0,,,CB,,,,,,,,,,,,
Net Income Continuous Operations,2294000000.0,3290000000.0,2040000000.0,1793000000.0,1892000000.0,,,CB,,,,,,,,,,,,
Tax Provision,342000000.0,-678000000.0,413000000.0,392000000.0,384000000.0,,,CB,,,,,,,,,,,,
Pretax Income,2636000000.0,2612000000.0,2453000000.0,2185000000.0,2276000000.0,,,CB,,,,,,,,,,,,
Other Income Expense,21000000.0,-153000000.0,-32000000.0,-7000000.0,-115000000.0,,,CB,,,,,,,,,,,,
Special Income Charges,-7000000.0,-18000000.0,-14000000.0,-15000000.0,-22000000.0,,,CB,,,,,,,,,,,,
Restructuring And Mergern Acquisition,7000000.0,18000000.0,14000000.0,15000000.0,22000000.0,,,CB,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-178000000.0,-173000000.0,-174000000.0,-165000000.0,-160000000.0,,,CB,,,,,,,,,,,,
Interest Expense Non Operating,178000000.0,173000000.0,174000000.0,165000000.0,160000000.0,,,CB,,,,,,,,,,,,
Other Operating Expenses,23000000.0,21000000.0,-1000000.0,8000000.0,19000000.0,,,CB,,,,,,,,,,,,
Depreciation And Amortization In Income Statement,80000000.0,84000000.0,84000000.0,70000000.0,72000000.0,,,CB,,,,,,,,,,,,
Amortization,80000000.0,84000000.0,84000000.0,70000000.0,72000000.0,,,CB,,,,,,,,,,,,
Selling General And Administration,1070000000.0,1048000000.0,1060000000.0,969000000.0,930000000.0,,,CB,,,,,,,,,,,,
General And Administrative Expense,1070000000.0,1048000000.0,1060000000.0,969000000.0,930000000.0,,,CB,,,,,,,,,,,,
